"Dates:","Confirmed","Deaths"
"2020-08-13","320","7"
"2020-08-14","320","7"
"2020-08-15","323","7"
"2020-08-16","323","8"
"2020-08-17","323","8"
"2020-08-18","323","8"
"2020-08-19","324","8"
"2020-08-20","325","8"
"2020-08-21","323","8"
"2020-08-22","329","8"
"2020-08-23","329","8"
"2020-08-24","327","8"
"2020-08-25","526","8"
"2020-08-26","531","8"
"2020-08-27","532","8"
"2020-08-28","535","8"
"2020-08-29","536","9"
"2020-08-30","538","9"
"2020-08-31","341","9"
"2020-09-01","341","9"
"2020-09-02","341","9"
"2020-09-03","342","9"
"2020-09-04","342","9"
"2020-09-05","341","9"
"2020-09-06","342","9"
"2020-09-07","344","9"
"2020-09-08","345","9"
"2020-09-09","349","9"
"2020-09-10","349","9"
"2020-09-11","351","9"
"2020-09-12","351","9"
